0 1
1 2
2 3
3 2
4 3
5 4
6 3
7 2
8 1
9 2
10 3
11 2
12 1
13 2
14 3
15 2
16 1
17 2
18 1
19 2
20 3
21 2
22 1
23 0
24 -1
25 -2
26 -3
27 -2
28 -1
29 -2
30 -3
31 -4
32 -3
33 -2
34 -3
35 -2
36 -1
37 0
38 -1
39 0
40 -1
41 -2
42 -3
43 -2
44 -1
45 -2
46 -1
47 0
48 1
49 2
50 3
51 2
52 1
53 2
54 1
55 0
56 1
57 0
58 -1
59 0
60 -1
61 0
62 1
63 0
64 1
65 2
66 3
67 2
68 1
69 0
70 1
71 0
72 -1
73 0
74 -1
75 -2
76 -3
77 -2
78 -1
79 0
80 1
81 2
82 3
83 2
84 1
85 2
86 3
87 4
88 5
89 6
90 7
91 6
92 5
93 4
94 5
95 6
96 7
97 8
98 7
99 8
